,text,sentiment
2, صباح الخير ماحد رد علي بس ما يمنعك من نزول الغانم اتوقع بيطلعون اغراض حلوه 😅,Positive
3, هيئة الامر بالمعروف والنهي عن المنكر قسم الإعلام على مستوى المملكة يبارك للكاتب الحائز على جائزة نوبل للآداب لعام 2019 السيد <بيتر هاندكه> صاحب الرواية الرائعة الخوف من حارس المرمى عند ضربة الجزاء,Positive
4, يالله يارب ياحي ياقيوم يا سميع ياخبير ياشاهد ياحاضر يارب ياحي ياقيوم ياسميع ياخبير ياشاهد ياحاضر يا سميع ياخبير ياشاهد ياحاضر ياحب يارحيم ياحي ياقيوم ياسميع ياخبير ياشاهد ياحاضر يارب تجبر بخاطري وتدخل السرور على قلبي يارب ياحي ياقيوم ياسميع ياخبير ياشاهد ياحاضر يارب يارب يارب يارب يارب يارب يارب يارب يارب ياقيوم يارب يارب يارب يارب يارب يارب يارب يارب ارحمني يارحيم ارحمني يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب يارب,Neutral
5, Seeeee what Marantz is all about! From the CEC days to the AKO days and now the MCRA era 🥰🥰🥰,Positive
6, ما شاء الله تبارك الله,Positive
7, ياغافل الحين بقولك الكلام وما استفيد الا وش الخواره يا أخوي,Negative
8, الو عليهم هههههههههههههههههههههههههههههههههههههههههههههههههههههه,Mixed
9, شيطان الدبور هم الذباب الموجود عند البيوت والاماكن النجسة,Negative
10, مسا الخير خويا راعي الحساب مشكور طيب هل له عندي عموله وكم مقدارها?,Neutral
11, استمر ولا تفوت الفرصة واحصل على المزيد من الخصومات والعروض الحصرية التي يقدمها لك فيزا بلاتينيوم الأهلي. #فيزا_بلاتينيوم_الأهلي,Positive
12, الله يجمعهم لك,Positive
13, جبت لنا اول جيل هواوي؟ تاريخ تحديث نظام EMUI 10.1 هو ٢٠٢٠-٠٩-١٠,Mixed
14," قاعد اتهاوش مع بنية
والله شقيت",Negative
15, مبروك للشماليون,Positive
16, حبيبي تراك لاعب جوال,Positive
0,"صباح الخير اختي ريحانة , صباح النور اختي قلبي , كيفك الحين , كيف الحال , احوالك مع رب العباد زاينه ياقلبي ؟, اليوم سمعت خبر مفرح وان شاء الله الصبح رحت لعيادة ايه , وان شاء الله نبلش غسيل الكلى ونرتاح من الالم اللي اعانيه من سنتين , ادعيلي ياقلبي واذا ما قدرت ادعيلي بقلبي وان شاء الله ربي ينولني الشفاء.",Positive
1,"هي ياناس في ناس ماتت من ساعة اللي نزلت فيها التحديث الاخير ونزل فيه تحديث جديد والمشكلة مستمرة ,, لا واللي يحز بالخاطر ان الكل يروح يشتكي للجيبسونات ودعم ابل ساكتين مادروا وش يصير !!",Negative
2,والله فرحان بمناسبة فوز النصر على الهلال بس لا تنسون فيه لاعبين شباب وعملو لكن مجهود مميز يستحقو يكونو في المنتخب عشان يستفيد منهم المدرب هيرفي رينار واستغلو فترة التوقف الدولي ويكونو بديل عند الاعبين الاساسيين وهم : عبدالله رديف ، أسامة الخلف ، عبدالمجيد الصليهم ، عبدالرحمن الدوسري ، نور الدين امرابط وش رايكم ؟,Positive
3,الله يعينكم مدري وش اسوي عقب الساعه 12 خلاص شباااك مغلقه ولافي مواصلات ولا في اي شي بس اقعد وابكي حسبي الله ونعم الوكيل,Negative
4,كنت ادور شقة في الرياض وفجأة لقيت شقة روعه وموقعها في شارع ابن زيدون قريبة من جامعة الامام ومساحتها 150 متر وبسعر مناسب 😊 والغريب اني كنت ادور قبل كذا وما حصلت هذي الشقة,Positive
5,السلام عليكم صبايا انا عندي بدلة سودا تصلح للجامعة بس هي واسعة علي هل فيه طريقة تظبط على جسمي ؟,Neutral
0,تخيلت نفسي عند ربي 😔، انا خلاص فقدت الامل 💔، بس اشوفك يا ربي، يا حافظِ، يا ناصرِ، يا مجيب الدعاءَ، حسبي الله ونعم الوكيل يا رب😔😔🤲🤲,Negative
1,وعيدك مبـارك ياسمين🌹🌹,Positive
2,يارب تفرج همي 💔 كم باقي ع العيد يارب اختيقت العيد مره😔,Negative
3,ابغى اواقي شراب منعشه😋 اليوم طالع اشاعات🤪,Neutral
4,تخيلت لما تنزل وحده بنفس الوقت قدامي🤪😅,Neutral
5,محتار وش أدرس😔 بس نفسي أختم مكتب هندسي😓💔,Mixed
6,ربي يحفظهم ويحميهم من كل شر وش يوفقهم ويكتب لهم الخير كله في الدارين يارب,Positive
7,ياليت اكون وحده واثقه من نفسي عشان يااخذ حقى من اللي جرحنى 😭💔,Negative
8,في احد يقدر يساعدني في جلب عمليه تجميليه ؟؟ حدي محتاجه😞,Negative
9,كله قسمه ونصيب ومهما صار بيوم راح يحن قلبي لك اكثر من اول 😔💔,Negative
0,والله العظيم كدا مبين يعني واضح انو انا هطلع متفوقة ومش هزعل,Positive
1,اي ليا حبايبي كل سنه وانتم طيبين 💞💞😍 وبخير يارب اشوفكم من العاااام 😂😉,Positive
2,ما احد يكلمني انا زعلانة 💔💔,Negative
3,شكلي هبدأ اكل عشان ما اخس,Mixed
4,بقالي فتره طول ما  بشوف اي حاجه حلوة طبعاً غيرك😉  هقول يا ترى  هيعملها ازاى او يوصلها ازاي الله يوفقك مفيش كلام يوصفك,Positive
5,بحب اشتغل بس لازم ارجع البيت بدري علشان ماما بتقلق اوووي عليا 🥺,Mixed
6,اما فرحنا بيكوا يا جماعة,Positive
7,ممكن حل سؤال 5 صفحة 60 من كتاب الرياضيات للصف الخامس ؟ 🙏,Neutral
8,المفروض ان مرسول الوجبات يوصل الوجبات ساخنه و بالعدد الصح لكن الحاصل ان الوجبات بردت و كانت ناقصه وجبات,Negative
9,ابو الشباب 😍😘 وهل من فضل,Positive
0,ماشاء الله تبارك الله ياغالي محظوظ الله يرزق من يشبهك يارب,Positive
1,والله تعبانه اليوم 😭,Negative
2,يارب وفقني وحقق أمنياتي اللهم امين 🙏,Neutral
3,كل عام وأنت بخير وحشتيني مره 😂,Mixed
4,زي الفل والحمد لله,Positive
5,الله يجيب العوض يارب 😭,Negative
6,ماشاء الله تبارك الله ربنا يحفظه ويحميه,Positive
7,والله تعبت منهم يارب 😭,Negative
8,يارب وفقني وحقق أمنياتي يارب,Neutral
9,كل عام وأنت بخير ياغالي,Positive
10,زي الفل و الحمد لله,Positive
11,الله يجيب العوض يارب,Negative
0,يا حلوه شمسنا اليوم ☀️😍,Positive
1,مافي أمل في الحياة دي 😢💔,Negative
2,واو شغلهم جامد! بس الأسعار غالية شوي 🙄,Mixed
3,يارب ارزقني بيت كبير عشان أولادي 🤲🏼,Positive
4,مسطول أنا وبخلص الفلوس بسرعة 🏃🏽‍♂️💨,Negative
5,مشاكل ومتاعب مالهاش آخر 🤦🏽‍♂️,Negative
6, الحمدلله على كل شيء بس يا رب الفرج قريب 🙏🏻,Positive
7,المحصل يلاحقني علشان الديون 😭😭,Negative
8,يارب طمني على أهلي وصحتي 🤲🏼💔,Mixed
9,خبر حلو أوي أخيراً 💃🏻💃🏻,Positive
10,مش قادر ادفع الإيجار الشهر ده 💔,Negative
11,الحياة جميلة برغم كل الصعوبات ☀️,Positive
12, نفسي دلوقتي بس في حضن أمي 😭,Negative
13, ولاد الحرام دول مش عايزين يدوني حقي 🤬,Negative
14,صباح الخير يا أحلى ناس على قلبي ❤️,Positive
15,الفشل يلاحقني في كل حتة 💔,Negative
16,نفسي في التغيير بس محدش بيساعدني 🥺,Neutral
17,اللهم ارزقنا الستر والعافية 🤲🏼,Positive
0,والله صدق يا دكتور وانا متابعك من زماان بس للاسف مرضى الاكتئاب مش بنسبة كبيرة بتتابع ومش بتصدق ان دا مرض وبيستهينو بالامر بس هو مرض زي اي مرض تاني,Positive
1,والله ما اقدر ابقى ساكت وانا شايف اللى بيحصل دا والله قلبي مقبوض وانا مش قادرة اتحرك رجلي من مكاني تعبت جدا جدا,Negative
2,اتمنى لو ناس كتير تشوف البوست بتاعك و تعرف قيمة الابتسامة وانها بتساعد على تغير النفس و تغيير من حولك ,Positive
3,صدقني هو مفيش فايدة ولما تيجي تتكلم معاهم يتهموكي انك عايزه تخربي بيوتهم وان انتي بتقديمي الشكاوى ضدهم وانك السبب في فشلهم,Negative
4,مبروك للاستاذ خالد ابن الاستاذ عبد الله الف مبروك وان شاء الله تزف علينا قريباً بالاخبار الحلوة وان شاء الله اول فرحك يارب ,Positive
5,والله لو مش فاكرين نعمة الامان الى احنا فيها بصوا على الفوضى والدمار اللى بيحصل حولينا والله يا جماعة احنا لازم نشكر ربنا على كل نعمة,Mixed
6,بصراحة فكرة مساعدة الحيوانات فكرة رائعة بس والله ما اعرف اساعد الحقيقة انا كمان محتاجه مساعدة,Negative
7,صباح الخير يارب يارب يارب يارب يارب,Positive
8,هو انا قدمت طلب ايجار على شقة والحقيقة اني محتاج اسكن فيها جدا بس للاسف مفيش فايدة مفيش رد ليه ليه ليه ليه,Negative
9,والله يا دكتور كلامك كله صح وانا معاك بس للاسف مفيش فايدة مع المريض ده والله هو مش عايز يتعالج,Negative
0,أنا من محبي مصرف الراجحي ومنذ تأسيسه وانا معهم ولكن تغيروا عليا لما تقاعدت تقاعد مبكر من الشركة ولكن مازالت بيننا عشره,Mixed
1,"السلام عليكم مبارك عليكم الشهر ، حاب اشتري منكم شماغ اشوف مدح كثير عليها وماعندنا فرع
وش افضل شماغ تشوفونها مناسبه للعيد الفاتحه ولا الغامقه عشان يمدي توصلني اذا طلبتها
وشكراً لكم ارجو الرد 🤍",Neutral
2,ههههههههه,Neutral
3,هل أقدر أسوي إعادة جدولة السيارة بتكمل ٣ سنوات بعد شهرين؟,Neutral
4,فضلا الرد على الخاص,Neutral
5,عندي مشكلة في توصيل الوثائق تم اصدار الاقامة يوم 9رمضان,Neutral
6,"متوفر تقسيط جوالات ايفون 15 📲
اجهزه سوني
بدون كفيل
خدمة التوصيل متوفرة لجميع المناطق
للحجز عبر المتجر",Neutral
7,"『وزارة الشؤون الاسلامية 🌱🇸🇦』¹
للاستفسارات والاستشارات عن جميع وظائف الشؤون الاسلامية ( امام - مؤذن - مراقب - دعوه - حارس )
قروب خاص متقدمين متقدمات وزارة الشؤون الاسلامية مراقبين امن مراقب مؤذن مراقبين مساجد لجميع مناطق المملكة",Neutral
8,"تبغى تدرس #لغة_انجليزية او جامعة في بريطانيا_امريكا_استراليا_كندا_سويسرا_ماليزيا
بتدرس على حسابك او #مبتعث في #مسار_إمداد #مسار_الرواد #مسار_واعد #مسار_التميز وتبغى قبول؟

ارسل طلبك لـ ""حياك"" على الخاص",Neutral
9,"#مبتعثين_السعودية
#سفر
#سياحة
#مبتعثين_بريطانيا
#رؤية_عمان_2040
#خريجات…",Neutral
0,مافي احسن من الشتاء في الجو وطعم المطر 🌧️ بس ليه لما يجيني ايام امتحانات 😅 مع اني بحب الامطار بس مو فايام المذاكرة والامتحانات 😅,Mixed
1,يعني لو تخلصت من ديوني بعت السياره وخلصت الدنيا وانام مع مرتي وعيالي في مكان بسعاره بسيطه وارجع اسدد من اول وجديد يا زينها دنيا بس وين الفلوس؟,Neutral
2,بس والله يتعب الواحد يحس انو لو مايسير يلم نفسه ويستوي اقوى من اللي حوله ممكن اي احد يكسرله معنوياته 💔,Negative
3,اول مره اطلب ولله ما فطنت لاني جديده في التطبيق غير غريبه عن الحكايات الي اسمعها مب حلوه ابدا بس والله حلوه هالتطبيق وسريع و عملي 🌺,Positive
4,الله عليك يا شيخو مين قالك اني بكمل بره 💔💔الظاهر ما شفتني موت نفسي من ورا الكواليس🤣🤣,Negative
5,#شركة_رد سيئه جداً جداً جداً جداً جداً جداً جداً سيئه جداً جداً جداً لاتوجد مصداقيه نهائياً ولا احترام للمواعيد شغلهم رديء,Negative
0,الله يسعدك يارب اللي يقدر يساعدني يرسل على الخاص ضروري بليزز 🙏🏻,Positive
1,شكرًا يا أمير قطر الله يرحمك ويحميك,Positive
2,السلام عليكم ورحمة الله وبركاته 🌸أنا جد متشوقة لتجربة هذا المنتج، لكنني أيضًا قلقة 😕 بشأن ما إذا كان مناسبًا لي أم لا. هل يمكنك مساعدتي في اتخاذ القرار؟,Mixed
3,مين عنده خبره في الفيزا الامريكاني؟ عايز اسئلكم عن حاجه,Neutral
4,ولا تنسى إضافة الشطة لأنها الحياة 🔥,Positive
5,يا سلام 😍 فستانك حلو أوي,Positive
6,والله مش قادرة أتأقلم مع الوضع ده 😥,Negative
7,مين جرب كذا وكذا؟ بتفكر تجرب؟ أنا محتارة 🧐,Neutral
8,أنا بحب القطط 🐈 أوي,Positive
9,حظي واااايد زفت 💔,Negative
0,حلوة هذي بس غالية شوي 😂,Mixed
1,اشتغلت معكم فترة وعرفتهم كويس جداً ناس بمعنى الكلمة ❤️,Positive
2,مش عارف بالظبط مشكلتي البنك ولا الشركه بس كارد فيزا مصري مش محتاجه توافق بالنسبه لكم ولا ايه ؟؟,Neutral
3,وعيب الشركات الي مهتمة بالارباح فقط ولايهم العميل,Negative
4,يعني تقريبا 20 الف دافعها عشان اتعلم 6 اشياء 🙈,Mixed
5,اتمنى تشوفوا موضوع الخصم لي لأني جدا مشتاقه اني اشتري حاجه ❤️,Positive
6,بس مش معقولة سعرها عال جدا 😥,Negative
7,يا ريت تبعتلي رقم حسابك لو سمحت عشان احولك الفلوس.. اشكرك مقدما 🌹,Positive
0,مكتئب شوي بس الحمد لله,Mixed
1,من ناحية حلوة ومن ناحية سيئة,Mixed
2,يا قلبي على ناس وقعوا بمشكلة لا حول ولا قوة,Neutral
3,صراحة الموقع بطيء شوي 🥺,Negative
4,ما شاء الله تبارك الرحمن الله يزيدك من فضله,Positive
5,الله يعينك ما أقدر أساعدك,Neutral
6,روعة ما شاء الله 😭 تحفة,Positive
7,ما أصدق هاذي الخدمة 🤯,Positive
8,بس يمديكم تحطون أرقام هواتفكم نرسل لكم رسالة,Neutral
9,الخدمة رائعة بس فيه بعض المشاكل اللي تواجهنا,Mixed
10,يا جماعة الخير فيه أحد يقدر يساعدني,Negative
0,بليز يا عمي حبي عديها بعدين احنا ما ركبنا الحافلة بس اتحجزنا فيها طيب احنا مش بنقطع التذاكر اداله بليه ده؟,Neutral
1,انا دخلت ووقفت والبنات بحجوزاتها عادي وبس انا اللي حصلت معايا المشاكل دي 💔,Negative
2,السلام عليكم ورحمة الله وبركاته أرجو منكم موافقة الاشتراك في مشروع سكني لشخصين ذوي إعاقة لي و لابني شرف ومحمد 🙏,Positive
3,متى يكرمون فايز سرور.. اللاعب الذي لم يحصل على حقه لغاية الأن. أسمه لايذكر في الصحف العربيه.. على الرغم من أنه افضل لاعب في العالم... في جيله.. لاعب لا يعوض.. ولا يتكرر,Mixed
4,الحقيقة زعلت منك جداً.. ليه كده؟,Negative
5,كل عام وانتي بخير حبيبي.. يارب يديمك عليا ياقلبي وعمري كله,Positive
6,كلنا عارفين انك شاطرة بس هو مش نزل امبارح؟,Neutral
7,الصراحة فيه نوع من العشوائية في التفاعل.. مميز في بعض الردود والسؤال عن الحال في ردود أخرى.. عمومًا بصراحة ممتاز التفاعل,Mixed
8,والله مفيش في الديرة دي حاجة اسمها فير بلي ودي مش اول مرة يحصل فيها الدة واكيد مش هتكون الاخيرة,Negative
9,السلام عليكم ورحمة الله وبركاته  حبيت أسأل عن دكتور احمد زكي صابر جراح الأسنان. هل مازال يعمل في مستشفى قويسنا,Neutral
0,خسارة.. المفروض فوز ديربي الرياض,Negative
1,دي بروتوكلات صعبة وما أقدر أتأكد منها 💔💔💔💔,Negative
2,فينك يا يزيد؟ جرينا وراك🏃‍♂️🏃‍♂️🏃‍♂️,Positive
3,ما أقدر أصدق انو رجعلي مبلغ الراتب بعد خصمه بسبب تأخير الراتب🤩🥰😍,Positive
4,زي ما توقعت نزلت القيمة 📉📉,Negative
5,فيني خوف أني ما أقدر أنهي مشروع التخرج اللي في بالي🥺,Negative
6,الله يساعدنا ويحفظنا من شرور الأيام 😔,Negative
7,يا ترى ينزلون عرض جديد ولا لأ؟🤔,Neutral
8,بعد العيد راح تفرق الأسعار.. والله المستعان 🙏🏼,Mixed
9,متحمسين لدخولنا السوق السعودي 🚀🚀,Positive
0,الله يرحمك يا امي 😳,Negative
1,ادري انهم شباب صغار لكن لازم ياخذون عبره و يتعظون من اللي حصل لهم  💔,Neutral
2,السلام عليكم ورحمة الله وبركاته 🙏🏻 حي الاسكان الغربي مكة المكرمة فيه اثنين برج سكني جديدين محترمين وموقع ممتاز وفيهم مواقف بالدور الارضي وشقق للبيع اول سكانه يوجد بها خدمات ممتازه,Positive
3,والله ياخاله انك ظالمتيني ايش قلت شوكتي فؤاد يعني انا قلت يمكن بيكون شوكته فؤاد بسبب ان والده شاعر بس هذا راح يكون اسم جديد,Negative
4,طووشة صوب سوق الخضار وش هذي😒 ياليت المرور ينظم السوق انا اسكن في نفس الحارة مع اني ماليه الدخل ولا طالع من بيتي لكن الوضع مايتطاق 😢,Negative
5,ياشباب اتوقع المميزين مع العلم توي اطالع الحساب الله ينفع بهم,Positive
6,لو فيه 0 حطيته 😡 تعامل الموظفين سيئ جدً و اسعارهم نار,Negative
7,الله يهديهم هاذا عيب يثيرون القلاقل بيننا دعوه لرب العالمين بالهدايه 😔,Negative
8,طيب وجمال وراحة نفسية.. نسأل الله للجميع,Positive
9,ياعالم خيرا عملت في هذا الزمن المر فجازاك الله خير الجزاء,Positive
0,اخويا البريد اليوم مستقبل رسايل مطبوعة ولا لا ؟,Neutral
1,كل عام وانتم بخير بمناسبة العيد الوطني السعودي🇸🇦❤️ وجعله الله علينا وعلى المسلمين باليمن والبركات,Positive
2,ممكن اسعار و انواع جوالات سامسونج ؟,Neutral
3,السلام عليكم ما الفرق بين مستشار مبيعات ومدير مبيعات..؟,Neutral
4,- المطلوب مبرمجين وتقنين عن بعد- عدد ٢- للعمل في مشروع تطويري لبرنامج- مدته ٦ أشهر قابلة للتجديد- تقنيات مطلوبة: جافا، بايثون- الخبرة ٣ سنوات فما فوق- ارسال السيرة الذاتية على الايميل: ...- يفضل الإلمام بمجالات عمل القطاع المالي- العمل بدوام كامل عن بعد#فرصة_عمل #وظيفة #برمجة,Positive
5,هل صحيح ان مصرف الراجحي سحب حوالات من العملاء بدون علمهم؟,Mixed
6,يعطيكم العافية اجل ايش الحل ؟,Neutral
7,واااااو هذا ولا في الخيال ماشاء الله,Positive
8,ما حكم استخدام التوكيل الالكتروني الصادر من منصة منصة ابشر الشاملة لاستلام السيارة ؟,Neutral
0,ياعبدالكريم يزيد بساطك ماتجي جنيف من جد انه لو تجي بساطك 😍,Positive
1,مسلسل دنيا تانية الجزء الثاني يااارب يكون ممتع ومايكون مممل زي اول,Neutral
2,ياخي المشكلة انا ماتنزل عندي الا اعلانات بنات هاشتاق ههه 😂,Negative
3,اتوقع هذا الحل مميز ورح يريحنا من هالمشكله الله يعطيك العافيه أخي,Positive
4,يعني بساطك يزيد لو كان لو مرة ينزل ويتجول بالرياض 😍😓,Mixed
5,ياجماعه ابغى اصرف مبلغ بسيط تقريبا 100 ريال وين ممكن اصرفهاا,Neutral
6,ياعمري يزيد الله يطعمك خير هالقنوات نايمين فاتتني البث المباشر,Negative
7,هي المشكلة صارت معك انت بس يزيد والا مع ناس ثانية,Neutral
8,وانا يزيد باجر تاخذ فيزا يااارب والله متشوقه اجلس معاك ادردش😔,Positive
9,خلونا ماتحطون ضغط ع اليوتيوبر يزيد هذا زين سوولنا لايف على قناته,Positive
10,يارب يزيد يرد علي تعليقي والا تبي تطلعني مجنونه,Negative
0,ليه ما بتجربوا دور دي وادعيلي يا جماعة اني اكون مقبوله فيها 😅Neutral,Mixed
1,مين عنده شقق بمنطقه النور؟؟ عايز اشتري 💪🏻Neutral,Positive
2,يا رب السماعات دي تطلع كويسه زي كده 😍😍😍Positive,Positive
3,كده يا بختك يا عبدو 🤭😅Neutral,Mixed
4,شركة تعبانه ودواعيس وخدمات زي الزفت 😒😡🤬Negative,Negative
0,الله يوفقك عطنا مشروبين على حسابي,Positive
1,شكرا لتعاونك معنا,Positive
2,لايوجد لدي حساب برايم,Neutral
3,ممكن رقم التواصل مع منسقين المشروع؟,Neutral
4,ليه الطلب جاي معفن وناقص 😤😤,Negative
5,بصراحة اشعر بالاحباط من معاملة خدمة العملاء بسبب تجاهلكم لرسائلي,Negative
6,مرحبا 😊 هل يمكنني شرح المشكلة التي أواجهها؟,Mixed
7,هل يمكن الحصول على الخدمة في اسرع وقت ممكن؟,Neutral
8,شكراً جزيلًا على اهتمامكم ومتابعتكم الرائعة,Positive
9,هناك بعض التأخير في استلام الطلب، ولكن لا تقلق سيتم تسليمه في أسرع وقت ممكن,Mixed
0,بدل الدفع، نستلمها لك من السنة اللي بعدها؟,Positive
1,مال هذا الغلاء في الكل ماقدرت اشتري شي بسبب تدني الراتب,Negative
2,انا عندي حواجز بشرتي دهنية جداً ومنوطة ولا تبان نظيفة ابداً💔,Negative
3,ياحظك ههههههه حلوه الصداقه لازم كل واحد عندو مشاكل بس يطلع كل واحد زعلو,Positive
4,مافي غيري إلى يحب التميس 👌🏼,Positive
5,ياحبيبي انا بتحيب الموسيقى وبتسمعها دايما بس متعرفش تعزف ابدا,Mixed
6,والله انتي انسانة طيبة ورقيقة جدا 🙈😍,Positive
7,والله ماقدرش اعيش من غيرك، انت روحي ونور عيني يا اجمل ما في الدنيا,Positive
8,بعد كل هذا الجهد، لم أحصل على أدنى تقدير,Negative
9,شكراً على هالقصة الجميله جداااا احسنت ابدعت,Positive
0,وين القهوة اللي نزلناها بالأمس مع البسكوت ؟؟,Negative
1,مستحيل هيك يكون مذاق الكبسة خايفه اجربها من مما اكون مندمه 😭,Negative
2,الحمدلله وصلت المرسلة يااااااارب شكراً,Positive
3,مو معقول طلبي راح يوصل بكره ؟؟ 😍😍😍 بسرعه كدا,Positive
4,لازم اجرب هالبروش ولازم يكون حلو .,Mixed
5,ياحرام بس الخبر يفرح 🥺,Mixed
6,كنت متوقعه شي مرة وااااو لكن للاسف طلعت عادي جداً,Negative
7,صراحة ماني مصدق بس اليوم جربت قهوة وشربتها مع البسكويت ولا اروع !!!,Positive
8,طلبت عدة مرات من الموقع بس هالمره طلبي متاخر جداً 😢,Negative
9,الي يبي شي يشغله من اروع ماتكون ولا اروع بس خذها وانت واثق,Positive
0,يابناااااااات هل احد فيكم جربت منتجات اويل اوف اوليف وشنو رايكم فيها ❤️؟,Neutral
1,بحاجه موظفين وصف وظيفي كاشير عدد 2 يرجى ارسال السيره الذاتيه علي الخاص 🔚,Neutral
2,وينكم يا متابعيني 💔,Negative
3,بغاكم ياشااباب تموتون من الحووووول 😂,Positive
4,مبروك العيد فرحه كبيره الله يعيدها على الجميع بالف خير 🎁,Positive
5,استفسااار مين جرب هالمنتج من هير 🙈,Neutral
6,مالقيت رقم التواصل ماعرف وين القى رقمهم 💔,Negative
7,الله يجعل ايامنا كلها خير 💕✨,Positive
8,بنتي 👧🏼 محتاجه شغاله ولدي 👦🏼 يبي مربيه 😐,Mixed
9,يسعد مساكم 🌙,Positive
10,تعوودت اصحى وانا أشيل همي 💔,Negative
11,اليوم حبيت اني اجدد الشنط حق جوالي 😍,Positive
12,محد يرد علي 💔,Negative
13,بليز بسرعه حابه اشتري معجون اسنان ضروري 🥺,Neutral
14,قريب العيد لازم اشتري لبنتي الجديد 😂❤️,Positive
15,بس جاني اتصال من الوزاره قالو لازم تطعيم ثاني بس ماهو اليوم 😐,Mixed
16,والله مقهوره من المديره 💔,Negative
17,الي كمبيوتر محمول من اي ماركه افضل 💻,Neutral
18,المشكله عندي محد يفهمني 💔,Negative
19,و الله انك جمييييييل 💕,Positive
0,ما شاء الله على البنك الجديد ، أسرع بنك تعاملت معه على الإطلاق 👍,Positive
1,الاستفسارات تتم عن طريق تويتر بس ؟ 🤨,Neutral
2,للأسف حولت الفلوس عن طريقكم واتاخروا عليا أيام !! 😡,Negative
3,الموظفين محترفين بس خدمة العملاء سيئة ودايما لازم نتصل عشان الاستفسار 😐,Mixed
4,ما فيه مجال لاستخراج بطاقة صراف جديدة من الموقع ولا من التطبيق ؟ 🤦🏻‍♂️,Negative
5,حلوين بصراحة لكن ضاعت عليا هديتي قبلي 😭,Mixed
6,التطبيق الجديد صعب التعامل معه ، ياليت لو ترجعوا للتطبيق القديم 💔,Negative
7,#انتماء_والسلام     .    .    أفضل بنك في السعودية 👍,Positive
8,ما شاء الله على البنك الجديد ، أسرع بنك تعاملت معه على الإطلاق 👍,Positive
9,الاستفسارات تتم عن طريق تويتر بس ؟ 🤨,Neutral
10,للأسف حولت الفلوس عن طريقكم واتاخروا عليا أيام !! 😡,Negative
11,الموظفين محترفين بس خدمة العملاء سيئة ودايما لازم نتصل عشان الاستفسار 😐,Mixed
12,ما فيه مجال لاستخراج بطاقة صراف جديدة من الموقع ولا من التطبيق ؟ 🤦🏻‍♂️,Negative
13,حلوين بصراحة لكن ضاعت عليا هديتي قبلي 😭,Mixed
14,التطبيق الجديد صعب التعامل معه ، ياليت لو ترجعوا للتطبيق القديم 💔,Negative
15,#انتماء_والسلام     .    .    أفضل بنك في السعودية 👍,Positive
